is_no,pi,Latitude,Longitude
IS19732,NA,21.72999954,80.44999695
IS19758,NA,22.72999954,78.34999847
IS19804,NA,24.96999931,81.65000153
IS19946,NA,15.48999977,-14.47999954
IS19950,NA,14.5,-13.67000008
IS19956,NA,16.17000008,-14.67000008
IS19962,NA,16.37999916,-15.57999992
IS19978,NA,13.67000008,-16.37999916
IS19982,NA,14.51000023,-13.02000046
IS19988,NA,15.15999985,-13.02999973
IS19991,NA,14.07999992,-15.88000011
IS19998,NA,14.13000011,-14.25
IS20004,NA,14.59000015,-14.39999962
IS20024,NA,14.07999992,-12.26000023
IS20027,NA,13.93000031,-13.43000031
IS20028,NA,14.8111833,-12.3589829
IS20049,NA,13.88000011,-12.85000038
IS20073,NA,12.57999992,-12.82999992
IS20087,NA,13.67000008,-13.86999989
IS20105,NA,13.07999992,-14.03999996
IS20116,NA,13.07999992,-13.44999981
IS20125,NA,12.82999992,-14.77999973
IS20146,NA,12.56000042,-15.64999962
IS20158,NA,13.43000031,10.42000008
IS20164,NA,13.88000011,13.18000031
IS20166,NA,13.52999973,11.71000004
IS20173,NA,13.94999981,11.31000042
IS20187,NA,13.35999966,12.65999985
IS20216,NA,13.02999973,8.859999657
IS20225,NA,13.94999981,10.25
IS20230,NA,13.88000011,9.100000381
IS20234,NA,12.89999962,9.329999924
IS20243,NA,13.18000031,9.909999847
IS20250,NA,14.72999954,7.460000038
IS20261,NA,14.30000019,6.760000229
IS20300,NA,14.38000011,9.029999733
IS20307,NA,14.30000019,2.059999943
IS20314,NA,13.93000031,7.179999828
IS20328,NA,13.90999985,6.179999828
IS20345,NA,14.67000008,4.349999905
IS20348,NA,13.85000038,4.849999905
IS20363,NA,14.76000023,6.309999943
IS20364,NA,15.85999966,5.349999905
IS20378,NA,14.44999981,5.210000038
IS20398,NA,13.40999985,2.960000038
IS20441,NA,12.72999954,2.829999924
IS20448,NA,14.47999954,3.660000086
IS20450,NA,14.27999973,2.549999952
IS20452,NA,15.18000031,3.50999999
IS20460,NA,14,3.180000067
IS20463,NA,14.02999973,4.210000038
IS20488,NA,13.85000038,1.450000048
IS20490,NA,13.35000038,2.460000038
IS20492,NA,14.42000008,1.549999952
IS20497,NA,13.35999966,1.899999976
IS20498,NA,14.56000042,0.709999979
IS20905,NA,8.9167,17.5667
IS21015,NA,-0.8447118,37.0618055
IS21055,NA,0.7477023,34.997074
IS21139,NA,-0.4333333,37.333334
IS21155,NA,-1.2333333,34.6499977
IS21160,NA,-0.9833333,38.4666672
IS21169,NA,-0.2500002,36.2999992
IS21186,NA,-4.0111627,39.6593765
IS21309,NA,-1.519999981,38.11000061
IS21310,NA,-0.579999983,38.04000092
IS21323,NA,-1.230000019,37.40000153
IS21328,NA,0.129999995,38.20999908
IS21343,NA,0.119999997,37.47999954
IS21347,NA,-2.950000048,37.56000137
IS21403,NA,-14.18000031,33.59000015
IS21464,NA,-17.03000069,35.27999878
IS21521,NA,-15.38000011,35.27999878
IS21522,NA,-14.97999954,34.95000076
IS21535,NA,-13.77999973,34.45000076
IS21545,NA,-13.06999969,33.40000153
IS21546,NA,-12.93000031,34.29000092
IS21557,NA,-13.65999985,35.52999878
IS21565,NA,-10.97999954,33.75
IS21583,NA,-14.35999966,34.25
IS21631,NA,-13.61999989,33.52999878
IS21976,NA,10.72999954,77.52999878
IS21982,NA,14.53999996,77.09999847
IS21996,NA,24.22999954,72.55000305
IS21997,NA,21.01000023,75.55999756
IS22001,NA,21.81999969,74.22000122
IS22009,NA,19.19000053,72.95999908
IS22019,NA,20.75,73.68000031
IS22025,NA,34.08000183,74.80999756
IS22026,NA,30.27000046,79.25
IS2206,NA,15.85999966,74.5
IS22100,NA,14.67000008,75.08999634
IS22104,NA,16.20000076,77.37000275
IS22193,NA,12.13000011,76.12999725
IS22598,NA,8.539999962,80.80000305
IS22601,NA,8.020000458,80.51000214
IS22604,NA,7.260000229,80.12999725
IS22608,NA,8.180000305,79.84999847
IS22615,NA,21.87999916,95.44999695
IS22618,NA,22.03000069,96.47000122
IS22701,NA,3.829999924,42.41999817
IS22702,NA,3.829999924,43
IS22742,NA,2.420000076,43.25
IS22746,NA,3.25,42.75
IS22751,NA,3.25,42.25
IS22785,NA,3.829999924,44.83000183
IS22789,NA,2.579999924,45.5
IS22792,NA,3.25,45.66999817
IS23108,NA,-3.549999952,36.09999847
IS23184,NA,-15.07999992,29.62000084
IS23188,NA,-14.55000019,30.80999947
IS23225,NA,-14.07999992,32.06000137
IS23240,NA,-13.55000019,32.52999878
IS23248,NA,-13.19999981,28.57999992
IS23262,NA,-9.289999962,31.25
IS23263,NA,-13.28999996,32.11000061
IS23275,NA,-13.52000046,31.57999992
IS23283,NA,-14.93000031,22.26000023
IS23298,NA,-12.27999973,33.20000076
IS23306,NA,-10.94999981,33.09000015
IS23308,NA,-11.64999962,32.88999939
IS23319,NA,-9.350000381,32.58000183
IS23322,NA,-16.82999992,27.06999969
IS23335,NA,-10.26000023,32.65000153
IS23341,NA,-10.02000046,31.18000031
IS23357,NA,-8.829999924,31.52000046
IS23358,NA,-9.069999695,32.02000046
IS23363,NA,-11.07999992,31.11000061
IS23366,NA,-13.1166658,29.8352753
IS23367,NA,-14.81000042,24.79999924
IS23370,NA,-11.89999962,31.43000031
IS23373,NA,-13.61999989,29.38999939
IS23375,NA,-13.97000027,28.67000008
IS23376,NA,-14.44999981,28.44000053
IS23615,NA,7.269999981,36.24000168
IS23651,NA,13.55000019,-14.77000046
IS23674,NA,13.19999981,-16.72999954
IS23675,NA,-16.88999939,37.81000137
IS23679,NA,-16.03000069,37.18000031
IS23685,NA,-16.78000069,38.86000061
IS23687,NA,-19.04999924,34.40000153
IS23693,NA,-15.89999962,38.95000076
IS23694,NA,-23.87999916,35.41999817
IS23698,NA,-13.71000004,39.81999969
IS23700,NA,-13.19999981,38.52999878
IS2371,NA,-5,120
IS23711,NA,-14.93999958,38.31000137
IS24283,NA,-8.729999542,33.29000092
IS24286,NA,-7.920000076,35.58000183
IS24287,NA,-8.850000381,34.63000107
IS24288,NA,-9.329999924,34.77000046
IS24292,NA,-10.68000031,35.63999939
IS24294,NA,-11.10999966,37.36000061
IS24297,NA,-6.179999828,39.31000137
IS24299,NA,-6.849999905,39.29999924
IS24302,NA,-10.92000008,39.06999969
IS24308,NA,-6.400000095,38.34999847
IS24309,NA,-6.849999905,30.56999969
IS24327,NA,19.87999916,76.48000336
IS24332,NA,20.22999954,77.55999756
IS24334,NA,20.70999908,77.98999786
IS24336,NA,20.42000008,79.37000275
IS24360,NA,19.01000023,73.94000244
IS24369,NA,18.72999954,76.37999725
IS24379,NA,26.54999924,79.58999634
IS24386,NA,27.88999939,78.06999969
IS24389,NA,28.39999962,77.84999847
IS24413,NA,25.37999916,81.13999939
IS24416,NA,26.06999969,81.08999634
IS24417,NA,25.45000076,81.83999634
IS24875,NA,9.390000343,9.210000038
IS25098,NA,7.9550113,-1.031819
IS25506,NA,-3.210000038,30.09000015
IS25543,NA,-2.559999943,28.95000076
IS25670,NA,13.43999958,-4.090000153
IS25690,NA,14.72999954,-6.559999943
IS25694,NA,15.01000023,-7.659999847
IS25706,NA,14.46000004,-8.229999542
IS25708,NA,15.26000023,-8.479999542
IS25722,NA,14.30000019,-9.550000191
IS25752,NA,15.01000023,-3.50999999
IS25766,NA,15.42000008,-4.039999962
IS25772,NA,13.85999966,-11.65999985
IS25783,NA,15.31000042,-11.35000038
IS25784,NA,13.39000034,-10.36999989
IS25798,NA,12.02999973,-9.710000038
IS25804,NA,12.39999962,-11.07999992
IS25812,NA,12.71000004,-10.57999992
IS25816,NA,11.44999981,-6.119999886
IS25839,NA,14,-4.119999886
IS25865,NA,12.57999992,-9.119999886
IS25868,NA,12.88000011,-9.979999542
IS25877,NA,13.06999969,-8.199999809
IS25888,NA,14.21000004,-7.579999924
IS25912,NA,13.69999981,-8.449999809
IS25913,NA,13.46000004,-7.800000191
IS25921,NA,13.05000019,-7.559999943
IS25931,NA,12.02999973,-8.380000114
IS25936,NA,11.56000042,-8.25
IS25945,NA,11.59000015,-7.539999962
IS25966,NA,10.60000038,-8.199999809
IS25985,NA,10.27999973,-7.260000229
IS25987,NA,10.75,-6.5
IS26000,NA,11.85999966,-5.409999847
IS26005,NA,11.13000011,-5.400000095
IS26008,NA,10.55000019,-5.769999981
IS26031,NA,13.06999969,-5.5
IS26056,NA,13.27999973,-4.579999924
IS26072,NA,12.55000019,-5.050000191
IS26090,NA,16.09000015,-3.339999914
IS26091,NA,15.21000004,-2.680000067
IS26101,NA,15.17000008,-1.409999967
IS26103,NA,15,-2.049999952
IS26108,NA,14.65999985,-2.75
IS26123,NA,13.75,-3.349999905
IS26131,NA,14.39999962,-3.160000086
IS26136,NA,14.40999985,-3.75
IS26137,NA,14.85999966,-5.210000038
IS26142,NA,14.77999973,-6.010000229
IS26147,NA,13.57999992,-5.25
IS26148,NA,14.30000019,-11.46000004
IS26282,NA,9.529999733,0.439999998
IS26285,NA,10.01000023,0.49000001
IS26370,NA,9.130000114,1.110000014
IS26376,NA,8.359999657,1
IS26390,NA,6.900000095,0.850000024
IS26404,NA,6.199999809,1.350000024
IS26419,NA,6.800000191,1.730000019
IS26434,NA,9.510000229,3.150000095
IS26485,NA,10.93000031,3.700000048
IS26516,NA,11.93999958,3.230000019
IS26532,NA,11.64999962,2.529999971
IS26540,NA,11.02000046,2.25
IS26548,NA,10.77999973,2.710000038
IS26565,NA,10.48999977,1.379999995
IS26566,NA,6.400000095,2.059999943
IS26575,NA,10.93000031,1.080000043
IS26576,NA,11.18000031,3
IS26579,NA,9.409999847,2.559999943
IS26588,NA,10,1.50999999
IS26594,NA,9.010000229,1.659999967
IS26596,NA,8.5,1.730000019
IS26598,NA,9.5,1.629999995
IS26602,NA,7.829999924,1.659999967
IS26634,NA,-13.82999992,24.17000008
IS26635,NA,-13.5,23
IS26638,NA,-12.32999992,24.82999992
IS26641,NA,-9.649999619,28.90999985
IS26821,NA,12.63000011,44.00999832
IS26827,NA,16.59000015,43.31999969
IS26837,NA,5.039999962,32.45000076
IS26925,NA,8.720000267,77.66999817
IS26978,NA,21.31999969,77.05000305
IS26991,NA,23.35000038,85.33000183
IS26993,NA,23.82999992,84.80999756
IS27003,NA,27.67000008,76.08000183
IS27071,NA,-20.88999939,30.78000069
IS27087,NA,-22.04000092,31.40999985
IS27100,NA,-20.35000038,31.45000076
IS27123,NA,-19.01000023,28.89999962
IS27129,NA,-20.47999954,27.82999992
IS27132,NA,-19.76000023,27.75
IS27137,NA,-19.65999985,30
IS27139,NA,-18.32999992,27.75
IS27156,NA,-18.54999924,29.54999924
IS27165,NA,-18.89999962,31.28000069
IS27167,NA,-18.12000084,28.52000046
IS27169,NA,-19.27000046,29.44000053
IS27179,NA,-20.85000038,30.18000031
IS27215,NA,-17.55999947,29.61000061
IS27222,NA,-17.62000084,30.18000031
IS27233,NA,-16.05999947,29.39999962
IS27253,NA,-16.57999992,32.18000031
IS27292,NA,13.71000004,-1.179999948
IS27336,NA,14.05000019,-2.529999971
IS27387,NA,11.25,0.699999988
IS27393,NA,11.52999973,0.02
IS27502,NA,12.18000031,-4.079999924
IS27527,NA,11.80000019,-3.279999971
IS27680,NA,8.479999542,-12.86999989
IS27708,NA,8,-11.05000019
IS27717,NA,7.929999828,-11.55000019
IS27726,NA,7.230000019,-11.42000008
IS27736,NA,8.619999886,-10.73999977
IS27740,NA,8.449999809,-11.77000046
IS27766,NA,9.279999733,-12.18999958
IS27775,NA,9.850000381,-11.42000008
IS27858,NA,-26.75,28.73999977
IS27859,NA,-29.14999962,31.05999947
IS27942,NA,14.02999973,45.31999969
IS28036,NA,17.02000046,44.06999969
IS28086,NA,13.25,43.47999954
IS28143,NA,14.13000011,43.18999863
IS28317,NA,14.68000031,49.04999924
IS28444,NA,13.52999973,45.5
IS28453,NA,12.7472,44.9075
IS28749,NA,14.18999958,47.04999924
IS28966,NA,12.52999973,54.27000046
IS29053,NA,15.72000027,43.65000153
IS29228,NA,-27.21999931,31.61000061
IS29664,NA,18.42000008,-70.11000061
IS29685,NA,-19.05999947,31.75
IS29757,NA,-21.05999947,31.65999985
IS29808,NA,-16.17000008,30.57999992
IS29838,NA,-17.03000069,30.39999962
IS29856,NA,-17.64999962,31.78000069
IS29860,NA,-17.39999962,32.22000122
IS29866,NA,-16.97999954,32.70000076
IS30024,NA,-18.37999916,26.42000008
IS30095,NA,-19.45000076,27.25
IS30122,NA,-18.18000031,31.54999924
IS30145,NA,-18.96999931,32.65000153
IS30213,NA,-17.73999977,27.39999962
IS30318,NA,33.47999954,116.8600006
IS30319,NA,31.62000084,114.8600006
IS30359,NA,37.41999817,117.0299988
IS30360,NA,38.45999908,111.1100006
IS30371,NA,39,111.0800018
IS30391,NA,38.34999847,111.9300003
IS30398,NA,37.08000183,113.3600006
IS30401,NA,37.83000183,113.5999985
IS30407,NA,26.77000046,104.4300003
IS30422,NA,38.90999985,111.8300018
IS30444,NA,27.47999954,117.3799973
IS30452,NA,39.52000046,112.8099976
IS30455,NA,32.83000183,118.8499985
IS3075,NA,14.23999977,34.40999985
IS30853,NA,8.829999924,13.97000027
IS30855,NA,8.470000267,13.23999977
IS30858,NA,7.829999924,14.75
IS30860,NA,7.829999924,15.39000034
IS30864,NA,7.170000076,14.82999992
IS30867,NA,7.329999924,14.18999958
IS30868,NA,7.5,13.5
IS3127,NA,36.707529,67.106626
IS31666,NA,-5.1000004,13.1166658
IS31869,NA,14.47999954,48.43999863
IS31965,NA,16.12000084,43.09000015
IS32150,NA,16.36000061,44.09000015
IS32262,NA,15.14999962,48.34000015
IS32337,NA,21.68000031,85.26000214
IS32357,NA,20.5,82.79000092
IS32370,NA,20.82999992,84.30000305
IS32373,NA,21.46999931,83.98999786
IS32401,NA,24,85.36000061
IS32404,NA,23.94000053,86.83000183
IS32405,NA,24.27000046,87.25
IS32420,NA,24.27000046,84.25
IS32425,NA,26.37999916,85.18000031
IS32426,NA,24.87999916,86.91000366
IS32449,NA,24.40999985,83.36000061
IS32459,NA,24.75,84.37000275
IS32461,NA,23.12000084,83.19000244
IS32471,NA,22.75,81.77999878
IS32475,NA,22.47999954,83.20999908
IS32506,NA,17.79999924,81.38999939
IS32571,NA,2.99000001,44.84000015
IS32685,NA,3.890000105,45.49000168
IS33242,NA,10,15.43999958
IS33716,NA,17.82999992,76.69000244
IS33861,NA,17.37000084,75.08999634
IS33973,NA,13.64999962,78.90000153
IS33984,NA,14.01000023,78.18000031
IS34008,NA,15.22999954,78.30999756
IS34017,NA,22.95999908,74.81999969
IS34029,NA,22.40999985,74.55999756
IS34035,NA,23.17000008,75.77999878
IS34067,NA,23.70000076,76.01000214
IS34083,NA,24.05999947,75.06999969
IS34139,NA,21.76000023,75.68000031
IS34150,NA,21.82999992,76.34999847
IS34219,NA,18.56999969,82.95999908
IS34226,NA,-21.28000069,27.87999916
IS3457,NA,4.110000134,33.40000153
IS34778,NA,5.170000076,14.77000046
IS34781,NA,5.849999905,14.82999992
IS34814,NA,6.670000076,16.37999916
IS34840,NA,7.28000021,16.17000008
IS34851,NA,6.980000019,15.64000034
IS34860,NA,7.369999886,16.72999954
IS34895,NA,5.659999847,20.69000053
IS34901,NA,6.5,17.55999947
IS34906,NA,5.78000021,17.54999924
IS34908,NA,5.260000229,17.64999962
IS34909,NA,6.03000021,18.40999985
IS34913,NA,6.510000229,18.28000069
IS34928,NA,7.309999943,18.29000092
IS34938,NA,6.369999886,19.17000008
IS34939,NA,7.21999979,18.82999992
IS34947,NA,6.659999847,19.79999924
IS34954,NA,8.409999847,22.64999962
IS34965,NA,7.550000191,20.18000031
IS34976,NA,4.329999924,18.67000008
IS35170,NA,-20.84000015,27.21999931
IS35214,NA,30.67000008,73.66000366
IS35215,NA,30.28000069,73.05999756
IS35218,NA,29.73999977,73.23999786
IS35222,NA,29.19000053,72.84999847
IS35225,NA,29.38999939,71.66999817
IS35229,NA,28.68000031,65.94000244
IS35230,NA,28.68000031,69.94000244
IS35231,NA,29.10000038,70.31999969
IS35239,NA,29.98999977,70.29000092
IS35240,NA,30.62999916,70.58000183
IS35244,NA,31.17000008,71.22000122
IS35246,NA,31.87999916,71.90000153
IS35250,NA,32.93000031,72.84999847
IS35254,NA,33.24000168,72.26000214
IS35255,NA,33.59999847,73.04000092
IS35427,NA,1.100000024,31.79999924
IS35471,NA,-17.72999954,25.11000061
IS35475,NA,-17.86000061,24.18000031
IS35478,NA,-17.75,23.37999916
IS35480,NA,-17.97999954,20.54999924
IS35483,NA,-18.03000069,19.04999924
IS35503,NA,-17.72999954,18.47999954
IS35506,NA,-18.43000031,19.72999954
IS35507,NA,-19.75,19.97999954
IS35509,NA,-19.63999939,17.34000015
IS35510,NA,-18.61000061,17.15999985
IS35522,NA,-17.51000023,14.63000011
IS35526,NA,-17.92000008,15.22999954
IS35553,NA,-17.43000031,15.32999992
IS35567,NA,-17.60000038,17.79999924
IS35570,NA,-17.62000084,17.12999916
IS35574,NA,-17.5,15.82999992
IS35579,NA,-17.56999969,16.5
IS35602,NA,-17.92000008,13.75
IS35604,NA,-17.87000084,13.17000008
IS3582,NA,18.10000038,33.54999924
IS36052,NA,17.22999954,78.27999878
IS36058,NA,17.5,79.26000214
IS36060,NA,16.89999962,78.73000336
IS36081,NA,16.45000076,78.45999908
IS36088,NA,18,79.58999634
IS36100,NA,16.97999954,73.30000305
IS36102,NA,23.30999947,91.30999756
IS36239,NA,10.27999973,77.86000061
IS36247,NA,9.630000114,78.83000183
IS36317,NA,13.64999962,76.93000031
IS36324,NA,15.77999973,76.76000214
IS36329,NA,15.63000011,76.01000214
IS36336,NA,16.40999985,76.93000031
IS36342,NA,16.35000038,75.91999817
IS36398,NA,11.32999992,79.37999725
IS36401,NA,12.77999973,80.18000031
IS36403,NA,11.93999958,79.5
IS36404,NA,12.27999973,78.61000061
IS36450,NA,29.60000038,79.65000153
IS36452,NA,8.479999542,76.91000366
IS3696,NA,25.04000092,121.5100021
IS37124,NA,-17.62000084,25.87999916
IS37125,NA,-15.32999992,24.27000046
IS37127,NA,-16.70000076,26.17000008
IS37128,NA,-16.75,25.17000008
IS37129,NA,-16.43000031,24.69000053
IS37133,NA,-15.57999992,23.25
IS37134,NA,-15.07999992,23.30999947
IS37135,NA,-14.19999981,23
IS37136,NA,-16.32999992,23.12999916
IS37140,NA,-15.27999973,22.75
IS37146,NA,-18.11000061,21.62999916
IS37203,NA,17.39999962,77.34999847
IS37234,NA,16.90999985,76.23000336
IS37569,NA,9.340000153,42.79000092
IS3762,NA,43.0547222,141.3538889
IS37746,NA,9.789999962,35.09999847
IS37978,NA,10.82999992,42.61999893
IS38021,NA,8.149999619,35.52999878
IS38026,NA,13.60999966,39
IS38159,NA,11.52999973,41.63000107
IS38683,NA,12.63000011,39.02999878
IS39453,NA,11.85000038,38
IS39462,NA,8.619999886,39.97000122
IS39463,NA,12.06000042,35.88000107
IS39474,NA,9.31000042,34.58000183
IS39496,NA,7.539999962,37.84999847
IS39525,NA,11.01000023,38.09000015
IS39672,NA,9.779999733,9.779999733
IS39677,NA,8.630000114,10.57999992
IS39713,NA,8.869999886,8.470000267
IS39764,NA,13.13000011,6.349999905
IS39778,NA,12.75,5.849999905
IS39780,NA,12.10999966,13.65999985
IS39783,NA,9.329999924,5.059999943
IS39791,NA,12.10999966,5.929999828
IS39797,NA,12.77999973,12.77999973
IS39809,NA,9.670000076,11.63000011
IS39810,NA,9.609999657,13.07999992
IS39814,NA,10.80000019,11.42000008
IS39815,NA,11.15999985,12.75
IS39819,NA,11.48999977,11.93999958
IS39913,NA,1.440000057,31.34000015
IS39915,NA,0.850000024,32.47000122
IS40005,NA,0.270000011,32.45000076
IS4003,NA,28.89999962,76.55999756
IS40033,NA,7.730000019,8.529999733
IS40034,NA,8.31000042,8.510000229
IS40036,NA,8.079999924,5.230000019
IS40215,NA,16.06999969,75.36000061
IS40272,NA,16.5,75
IS40306,NA,14.82999992,76.5
IS40307,NA,14.48999977,76.16000366
IS40324,NA,14.56000042,75.58999634
IS40325,NA,15,75.83000183
IS40329,NA,13.59000015,75.95999908
IS40373,NA,-0.379999995,32.88000107
IS4064,NA,26.02000046,76.33999634
IS40729,NA,20.54000092,74.45999908
IS40730,NA,20.32999992,75.05999756
IS40757,NA,19.62000084,75.87999725
IS40771,NA,19.26000023,76.76999664
IS40791,NA,20.14999962,73.80999756
IS40803,NA,18.32999992,74.83000183
IS40819,NA,19.04999924,74.44000244
IS40822,NA,19.37000084,74.93000031
IS40824,NA,19.87000084,74.47000122
IS40841,NA,17.85000038,74.66000366
IS4127,NA,24.87999916,74.62999725
